sample	lane	machine
HT220_SK1W-15.sort.bam	3441_6	HiSeq2500
HT220_SK1W-15.sort.bam	3393_6	HiSeq2500
HT221_IA2A-21.sort.bam	3441_6	HiSeq2500
HT221_IA2A-21.sort.bam	3393_6	HiSeq2500
HT222_KS2A-12.sort.bam	3441_7	HiSeq2500
HT222_KS2A-12.sort.bam	3393_6	HiSeq2500
HT224_KS2A-16.sort.bam	3441_7	HiSeq2500
HT224_KS2A-16.sort.bam	3393_6	HiSeq2500
HT225_KS2A-23R.sort.bam	3393_6	HiSeq2500
HT226_KS2A-37.sort.bam	3441_6	HiSeq2500
HT226_KS2A-37.sort.bam	3393_6	HiSeq2500
HT227_KS2W-9.sort.bam	3441_7	HiSeq2500
HT227_KS2W-9.sort.bam	3393_6	HiSeq2500
HT228_KS2W-12.sort.bam	3441_6	HiSeq2500
HT228_KS2W-12.sort.bam	3393_6	HiSeq2500
HT229_Man-6.sort.bam	3393_6	HiSeq2500
HT230_Man-9.sort.bam	3441_7	HiSeq2500
HT230_Man-9.sort.bam	3393_7	HiSeq2500
HT231_MB1W-8.sort.bam	3393_7	HiSeq2500
HT232_MB1W-11.sort.bam	3393_7	HiSeq2500
HT233_MB1W-14.sort.bam	3393_7	HiSeq2500
HT234_MB1W-39.sort.bam	3441_6	HiSeq2500
HT234_MB1W-39.sort.bam	3393_7	HiSeq2500
HT235_MK2-4.sort.bam	3393_7	HiSeq2500
HT236_MO1W-2.sort.bam	3393_7	HiSeq2500
HT237_MO1W-38.sort.bam	3577_4	X10
HT237_MO1W-38.sort.bam	3564_4	X10
HT239_P-036.sort.bam	3393_7	HiSeq2500
HT24_IA2W-14.sort.bam	3392_1	HiSeq2500
HT242_SK1W-25.sort.bam	3393_7	HiSeq2500
HT243_IA1A-11.sort.bam	3563_8	X10
HT244_IA1A-25.sort.bam	3563_8	X10
HT247_IA1W-33.sort.bam	3563_8	X10
HT249_IA2A-8.sort.bam	3563_8	X10
HT250_KS1A-14R.sort.bam	3577_5	X10
HT250_KS1A-14R.sort.bam	3564_5	X10
HT251_KS1A-16.sort.bam	3570_6	X10
HT252_KS1A-38.sort.bam	3563_8	X10
HT254_KS1W-27.sort.bam	3563_8	X10
HT255_KS1W-29.sort.bam	3563_8	X10
HT256_KS2A-4.sort.bam	3563_8	X10
HT257_KS2A-31.sort.bam	3563_8	X10
HT258_KS2A-38.sort.bam	3563_8	X10
HT259_KS2E-6.sort.bam	3577_1	X10
HT259_KS2E-6.sort.bam	3564_1	X10
HT26_MK3-24.sort.bam	3441_6	HiSeq2500
HT26_MK3-24.sort.bam	3392_1	HiSeq2500
